latitude,longitude,Month,day
-36.86589,145.99659,September,20
-38.41515,145.91798,September,1
-37.91515,145.58465,Unknown,
-37.24852,142.25135,August,12
-37.41515,145.41797,June,1
-35.7485,143.7513,June,1
-38.2485,144.418,February,24
-34.56922,141.0564,June,5
-38.24853,142.41803,March,15
-37.69013,147.84294,April,1
-38.45095,144.93794,December,6
-38.74849,145.75132,October,19
-38.41516,145.25133,November,23
-38.2485,144.418,September,1
-37.73258,144.77989,April,13
-37.8068,147.59295,October,1
-35.79019,141.45967,November,15
-38.0068,147.52628,September,28
-37.85683,145.20965,January,1
-37.8068,147.85961,April,1
-37.08185,142.75134,November,13
-37.08185,142.75134,July,28
-37.79651,145.14139,October,9
-36.84015,145.84296,November,13
-36.75584,144.30884,December,25
-38.4152,141.58471,July,7
-36.32021,146.53836,May,29
-35.37351,142.60964,December,8
-37.82346,147.89294,November,1
-37.74849,145.41798,Unknown,
-36.41517,143.08466,January,28
-37.79013,147.85961,August,1
-35.37711,141.14833,February,1
-35.41516,143.58463,November,25
-36.20679,147.62625,May,27
-37.67288,145.51071,September,27
-37.82346,147.89294,October,1
-37.82346,148.05961,May,1
-37.82346,148.04294,January,1
-37.61414,144.62142,February,2
-35.59018,142.05966,November,15
-37.76179,145.63381,December,2
-36.24853,141.25134,November,18
-36.41515,145.41796,January,17
-37.08178,148.75125,February,24
-37.87346,148.02627,October,1
-37.91516,145.41798,April,2
-36.91517,143.91799,September,8
-36.04012,147.87625,July,26
-38.41517,144.918,March,1
-35.91518,142.41799,Unknown,
-36.50683,144.4763,July,27
-37.78085,144.57748,February,1
-36.82314,146.06106,October,14
-37.57986,145.11848,October,29
-37.95814,144.56598,January,1
-37.82346,147.75961,July,1
-35.08184,142.08465,October,25
-37.54094,145.05269,October,23
-37.9568,147.70961,October,1
-36.95681,146.45962,May,1
-37.91516,144.75132,September,18
-38.05882,145.26357,January,20
-35.55684,142.30965,August,17
-37.74846,148.0846,Unknown,
-36.1235,143.62631,September,28
-34.87336,142.30394,October,30
-37.97873,144.5596,February,1
-34.58997,141.05423,June,5
-37.85679,147.95961,March,1
-36.29012,147.62625,May,29
-38.41517,144.08468,January,1
-34.73515,142.32689,January,1
-37.58042,145.0426,October,26
-37.80661,145.21156,June,21
-35.49018,141.90966,April,17
-37.10686,142.12635,May,13
-36.08184,143.08465,October,4
-37.90014,145.19907,September,27
-35.41516,143.58463,December,5
-34.73515,142.32689,September,21
-36.7735,144.30964,June,24
-37.74851,143.58467,September,1
-36.12349,144.95962,October,27
-35.55684,142.54298,November,3
-35.79017,142.79298,July,7
-37.08184,143.75132,September,1
-38.54016,145.20966,January,1
-38.2485,144.58467,January,1
-38.41517,144.918,February,21
-38.58185,143.58469,February,16
-37.9568,147.70961,September,1
-35.90683,143.65964,August,13
-38.28322,146.76746,November,1
-34.80612,142.35098,June,12
-36.41514,146.25128,December,1
-37.24853,141.58469,January,16
-38.30116,145.52083,January,1
-34.21561,141.16581,February,20
-37.9568,147.70961,August,1
-37.22267,144.04555,May,17
-37.84013,147.82628,March,1
-37.79013,147.84294,June,1
-35.91515,145.25128,Unknown,
-36.29016,144.10964,June,1
-37.91516,145.25132,June,1
-37.08182,145.2513,June,1
-36.75646,144.2965,June,12
-37.82346,148.04294,September,1
-37.84013,147.80961,March,1
-36.41514,146.08461,September,26
-36.37348,146.04295,November,19
-34.83322,142.57232,September,1
-37.91517,144.418,July,19
-37.91516,145.25132,March,1
-36.37349,144.4263,July,26
-37.48942,144.74074,July,5
-37.62087,145.20583,January,28
-35.29017,142.87631,November,2
-37.76712,144.79588,May,5
-37.74853,142.08469,March,1
-37.98934,145.13995,May,1
-36.9985,144.31798,March,13
-37.74793,144.3062,October,27
-35.24851,142.58464,November,2
-36.74851,142.75133,April,18
-38.58181,146.58464,December,27
-37.78951,145.04277,April,19
-38.08183,144.58466,September,1
-38.08183,144.58466,July,19
-37.8068,147.59295,July,1
-38.12675,145.16727,May,23
-37.22267,144.04555,October,11
-37.24848,145.91796,August,17
-37.90527,145.01355,May,29
-37.70509,144.48808,November,11
-36.3403,147.39071,May,6
-37.81208,145.21597,May,27
-37.58042,145.0426,October,29
-36.27626,144.11059,October,30
-37.82346,148.04294,April,1
-36.75584,144.30884,October,16
-38.41516,145.08466,September,9
-37.94628,144.39113,May,27
-37.86366,144.4452,July,14
-37.87348,145.95964,January,1
-37.91279,144.4253,December,8
-37.74853,141.91803,June,10
-36.41514,146.08461,September,1
-37.58184,143.75133,March,3
-36.24848,145.08462,May,1
-38.41517,144.08468,Unknown,
-36.2485,143.91797,July,6
-38.29015,145.87631,January,1
-37.8108,145.66358,October,7
-36.24349,146.18378,November,17
-37.89013,147.65961,February,1
-37.65919,144.75941,May,1
-36.58182,144.7513,April,6
-37.61057,144.45049,November,5
-35.91517,143.25131,September,28
-37.87346,147.90961,August,1
-36.41517,143.58465,March,1
-36.08184,143.41798,April,4
-34.24586,141.59157,June,3
-37.82346,147.79294,June,1
-37.8568,147.79294,December,1
-37.87346,147.85961,April,1
-36.24849,144.2513,August,24
-38.58185,143.41802,February,16
-37.89013,147.77628,February,1
-37.75518,144.93244,March,22
-36.79014,146.04295,September,15
-34.91517,143.08463,September,1
-37.87346,147.69295,April,1
-37.87346,147.85961,November,1
-35.95684,142.55965,March,21
-36.08182,144.91796,March,1
-36.91519,142.08468,August,30
-37.82346,147.74294,July,1
-37.74852,142.75135,March,1
-38.08182,145.75131,May,24
-37.83863,145.1267,May,6
-37.87346,147.85961,December,1
-36.85121,145.39783,January,1
-38.58185,143.58469,November,14
-37.80198,145.20372,October,18
-37.99013,147.59295,May,1
-36.26117,146.67897,June,5
-36.74849,145.08463,July,19
-37.56278,144.62192,May,1
-37.58185,142.58468,March,1
-36.29013,147.45959,May,28
-35.57351,142.02632,November,10
-37.91517,144.25133,February,10
-38.41516,145.08466,May,1
-36.79014,145.97629,November,9
-37.86681,145.45339,April,26
-38.58181,146.91797,February,20
-37.60249,145.18248,Unknown,
-34.21561,141.16581,February,19
-36.04013,147.45959,August,17
-37.74013,147.85961,October,12
-37.79424,145.11192,September,27
-35.95683,144.29296,September,23
-37.24848,145.91796,March,1
-37.82346,147.77628,September,1
-36.74846,147.41793,March,21
-36.37348,146.04295,November,19
-38.53373,145.38988,January,1
-38.60182,143.42274,February,19
-38.24848,146.08464,September,1
-37.77312,145.26233,April,15
-37.50805,144.18251,April,14
-37.5577,145.32282,January,1
-37.91517,144.25133,July,22
-37.91516,144.75132,December,30
-37.91514,147.25129,January,1
-37.92973,145.18924,April,21
-34.58184,142.41797,January,8
-37.67708,145.35188,December,7
-36.98054,141.74914,October,14
-34.4691,141.09662,February,22
-36.07347,146.19294,November,17
-37.87346,147.85961,December,1
-36.58182,145.08463,April,1
-35.36539,141.14831,February,23
-37.88061,144.60832,April,25
-36.5818,147.0846,March,1
-36.13544,144.72687,August,22
-36.62347,146.29295,May,2
-38.05294,145.17253,May,17
-34.70683,143.12629,September,22
-36.62347,146.20961,August,19
-37.74852,142.25136,January,12
-38.41516,145.08466,March,1
-37.91517,144.418,January,1
-37.8735,144.25966,September,1
-37.8568,147.94294,May,1
-38.32655,146.32113,July,11
